1565,799,1748,799,1748,972,1565,972,憾
1576,963,1745,963,1745,1120,1576,1120,焉
1670,1139,1757,1139,1757,1268,1670,1268,言
1650,1289,1751,1289,1751,1411,1650,1411,我
1659,1439,1750,1439,1750,1543,1659,1543,以
1652,1572,1748,1572,1748,1676,1652,1676,此
1568,1133,1665,1133,1665,1274,1568,1274,有
1550,1284,1651,1284,1651,1413,1550,1413,恨
1557,1425,1660,1425,1660,1546,1557,1546,於
1546,1561,1657,1561,1657,1686,1546,1686,汝
1560,1692,1731,1692,1731,1841,1560,1841,對
1565,1856,1727,1856,1727,1990,1565,1990,曰
1654,1999,1733,1999,1733,2123,1654,2123,𠩤
1643,2129,1740,2129,1740,2278,1643,2278,繁
1614,2287,1733,2287,1733,2412,1614,2412,荅
1555,1975,1656,1975,1656,2110,1555,2110,使
1541,2139,1627,2139,1627,2273,1541,2273,者
1555,2425,1728,2425,1728,2596,1555,2596,先
1543,2599,1718,2599,1718,2764,1543,2764,君
1539,2771,1728,2771,1728,2932,1539,2932,桓
1538,2939,1727,2939,1727,3092,1538,3092,公
1610,3121,1722,3121,1722,3244,1610,3244,桓
1522,3126,1610,3126,1610,3235,1522,3235,公
1438,809,1545,809,1545,936,1438,936,鄭
1448,972,1547,972,1547,1090,1448,1090,始
1413,1114,1540,1114,1540,1243,1413,1243,封
1354,838,1447,838,1447,949,1354,949,之
1356,982,1446,982,1446,1070,1356,1070,君
1352,1247,1538,1247,1538,1388,1352,1388,命
1354,1402,1523,1402,1523,1544,1354,1544,我
1354,1556,1531,1556,1531,1700,1354,1700,先
1355,1703,1528,1703,1528,1820,1355,1820,人
1437,1836,1530,1836,1530,1987,1437,1987,命
1425,2000,1530,2000,1530,2127,1425,2127,我
1424,2143,1531,2143,1531,2262,1424,2262,𠩤
1421,2252,1527,2252,1527,2392,1421,2392,繁
1408,2424,1529,2424,1529,2539,1408,2539,之
1333,1847,1430,1847,1430,1966,1333,1966,先
1329,1978,1428,1978,1428,2105,1329,2105,世
1320,2141,1425,2141,1425,2262,1320,2262,祖
1320,2258,1425,2258,1425,2383,1320,2383,父
1325,2555,1504,2555,1504,2744,1325,2744,典
1321,2744,1494,2744,1494,2897,1321,2897,司
1323,2903,1500,2903,1500,3068,1323,3068,宗
1322,3075,1507,3075,1507,3232,1322,3232,袥
1232,839,1325,839,1325,954,1232,954,宗
1247,982,1335,982,1335,1111,1247,1111,祏
1232,1135,1335,1135,1335,1264,1232,1264,宗
1229,1266,1321,1266,1321,1406,1229,1406,廟
1238,1419,1323,1419,1323,1565,1238,1565,中
1226,1578,1327,1578,1327,1709,1226,1709,藏
1234,1726,1321,1726,1321,1820,1234,1820,主
1230,1843,1315,1843,1315,1956,1230,1956,石
1218,1973,1307,1973,1307,2097,1218,2097,室
